Users,Total pulls,Pull number,MoC,PF,Female,HP,ATK,DEF,SPEED,Banner count,Legendary chance,Win percent,PHYSICAL,FIRE,ICE,LIGHTNING,WIND,QUANTUM,DESTRUCTION,HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION
90135,4147872,90,9.5,7,0,168.96,95.04,49.5,102,2,1.0,0.5853401111446173,0,0,0,0,0,0,1,0,0,0,0,0
311498,19664270,74,9.5,9.5,1,200.64,63.36,82.5,100,1,0.067667164,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,75,9.5,9.5,1,200.64,63.36,82.5,100,1,0.12526806,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,76,9.5,9.5,1,200.64,63.36,82.5,100,1,0.1853904,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,77,9.5,9.5,1,200.64,63.36,82.5,100,1,0.2448713,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,78,9.5,9.5,1,200.64,63.36,82.5,100,1,0.30305836,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,79,9.5,9.5,1,200.64,63.36,82.5,100,1,0.3571954,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,80,9.5,9.5,1,200.64,63.36,82.5,100,1,0.41374347,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,81,9.5,9.5,1,200.64,63.36,82.5,100,1,0.46139738,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,82,9.5,9.5,1,200.64,63.36,82.5,100,1,0.4992635,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,83,9.5,9.5,1,200.64,63.36,82.5,100,1,0.5137316,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
311498,19664270,90,9.5,9.5,1,200.64,63.36,82.5,100,1,1.0,0.5834937942749908,0,0,0,0,0,1,0,0,0,0,0,1
308607,20892481,74,9.5,8,1,195.36,92.4,66.0,96,1,0.06705713,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,75,9.5,8,1,195.36,92.4,66.0,96,1,0.127466,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,76,9.5,8,1,195.36,92.4,66.0,96,1,0.18381658,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,77,9.5,8,1,195.36,92.4,66.0,96,1,0.24370606,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,78,9.5,8,1,195.36,92.4,66.0,96,1,0.29920197,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,79,9.5,8,1,195.36,92.4,66.0,96,1,0.35637185,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,80,9.5,8,1,195.36,92.4,66.0,96,1,0.41282257,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,81,9.5,8,1,195.36,92.4,66.0,96,1,0.46367845,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
308607,20892481,82,9.5,8,1,195.36,92.4,66.0,96,1,0.49328655,0.5845325261340171,0,0,1,0,0,0,1,0,0,0,0,0
